"Date";"Medicine Name";"Quantity Sold";"Government Ceiling Price ($)";"Industry Selling Price ($)";"Price per Unit ($)";"Discount (%)";"Taxes (%)";"Demand Level"
"2024-11-05";"Pioglitazone";80;1.2;1.09;1.09;14;14;"Medium"
"2024-11-05";"Omeprazole";96;0.7;0.67;0.67;0;7;"Medium"
"2024-11-05";"Losartan";91;1.0;0.91;0.91;15;8;"Low"
"2024-11-05";"Levothyroxine";91;0.8;0.72;0.72;0;7;"High"
"2024-11-06";"Paracetamol";78;0.55;0.52;0.52;12;10;"High"
"2024-11-06";"Ibuprofen";14;0.75;0.71;0.71;9;11;"Low"
"2024-11-06";"Aspirin";89;0.6;0.56;0.56;12;9;"High"
"2024-11-06";"Naproxen";57;0.85;0.8;0.8;2;6;"Low"
"2024-11-06";"Diclofenac";38;0.9;0.8;0.8;8;15;"High"
"2024-11-06";"Amoxicillin";23;1.3;1.12;1.12;7;13;"Low"
"2024-11-06";"Azithromycin";67;1.5;1.42;1.42;12;12;"Low"
"2024-11-06";"Ciprofloxacin";43;1.4;1.32;1.32;11;8;"Medium"
"2024-11-06";"Doxycycline";95;1.2;1.1;1.1;12;15;"High"
"2024-11-06";"Cetrizine";95;0.4;0.36;0.36;8;5;"Low"
"2024-11-06";"Loratadine";31;0.45;0.39;0.39;12;13;"Medium"
"2024-11-06";"Fexofenadine";32;0.5;0.45;0.45;2;5;"Low"
"2024-11-06";"Metformin";50;0.9;0.77;0.77;15;5;"Medium"
"2024-11-06";"Glimepiride";35;1.1;1.01;1.01;8;9;"Low"
"2024-11-06";"Sitagliptin";61;1.6;1.36;1.36;5;15;"High"
"2024-11-06";"Pioglitazone";89;1.2;1.1;1.1;8;15;"Medium"
"2024-11-06";"Omeprazole";56;0.7;0.68;0.68;6;12;"Medium"
"2024-11-06";"Losartan";41;1.0;0.9;0.9;2;5;"Low"
"2024-11-06";"Levothyroxine";34;0.8;0.71;0.71;4;9;"High"
"2024-11-07";"Paracetamol";41;0.55;0.53;0.53;9;12;"Low"
"2024-11-07";"Ibuprofen";52;0.75;0.68;0.68;5;13;"Medium"
"2024-11-07";"Aspirin";25;0.6;0.59;0.59;8;8;"Low"
"2024-11-07";"Naproxen";23;0.85;0.76;0.76;5;15;"Low"
"2024-11-07";"Diclofenac";76;0.9;0.79;0.79;5;12;"High"
"2024-11-07";"Amoxicillin";95;1.3;1.29;1.29;13;5;"High"
"2024-11-07";"Azithromycin";63;1.5;1.36;1.36;3;5;"High"
"2024-11-07";"Ciprofloxacin";52;1.4;1.35;1.35;3;8;"High"
"2024-11-07";"Doxycycline";42;1.2;1.15;1.15;6;7;"Low"
"2024-11-07";"Cetrizine";40;0.4;0.37;0.37;0;10;"High"
"2024-11-07";"Loratadine";42;0.45;0.42;0.42;12;9;"High"
"2024-11-07";"Fexofenadine";79;0.5;0.47;0.47;3;5;"High"
"2024-11-07";"Metformin";47;0.9;0.81;0.81;2;6;"High"
"2024-11-07";"Glimepiride";94;1.1;0.97;0.97;1;6;"Low"
"2024-11-07";"Sitagliptin";81;1.6;1.4;1.4;10;14;"Low"
"2024-11-07";"Pioglitazone";16;1.2;1.16;1.16;0;15;"Low"
"2024-11-07";"Omeprazole";13;0.7;0.6;0.6;7;11;"Low"
"2024-11-07";"Losartan";27;1.0;0.97;0.97;6;6;"Medium"
"2024-11-07";"Levothyroxine";61;0.8;0.78;0.78;0;6;"High"
"2024-11-08";"Paracetamol";26;0.55;0.49;0.49;8;8;"High"
"2024-11-08";"Ibuprofen";76;0.75;0.64;0.64;10;13;"Low"
"2024-11-08";"Aspirin";54;0.6;0.53;0.53;10;12;"Medium"
"2024-11-08";"Naproxen";17;0.85;0.73;0.73;4;11;"Medium"
"2024-11-08";"Diclofenac";14;0.9;0.83;0.83;9;15;"Medium"
"2024-11-08";"Amoxicillin";69;1.3;1.14;1.14;2;9;"High"
"2024-11-08";"Azithromycin";59;1.5;1.34;1.34;1;8;"Low"
"2024-11-08";"Ciprofloxacin";80;1.4;1.38;1.38;6;6;"Medium"
"2024-11-08";"Doxycycline";55;1.2;1.05;1.05;7;14;"High"
"2024-11-08";"Cetrizine";39;0.4;0.39;0.39;15;8;"Medium"
"2024-11-08";"Loratadine";27;0.45;0.44;0.44;7;13;"High"
"2024-11-08";"Fexofenadine";78;0.5;0.48;0.48;9;9;"Medium"
"2024-11-08";"Metformin";72;0.9;0.87;0.87;10;12;"Low"
"2024-11-08";"Glimepiride";100;1.1;0.94;0.94;3;12;"Medium"
"2024-11-08";"Sitagliptin";81;1.6;1.44;1.44;0;12;"Low"
"2024-11-08";"Pioglitazone";32;1.2;1.04;1.04;10;12;"Low"
"2024-11-08";"Omeprazole";98;0.7;0.65;0.65;12;6;"High"
"2024-11-08";"Losartan";73;1.0;0.88;0.88;8;7;"High"
"2024-11-08";"Levothyroxine";59;0.8;0.75;0.75;2;8;"Medium"
"2024-11-09";"Paracetamol";20;0.55;0.52;0.52;7;12;"Low"
"2024-11-09";"Ibuprofen";16;0.75;0.64;0.64;12;12;"Medium"
"2024-11-09";"Aspirin";43;0.6;0.52;0.52;15;8;"Low"
"2024-11-09";"Naproxen";58;0.85;0.8;0.8;8;11;"High"
"2024-11-09";"Diclofenac";77;0.9;0.79;0.79;5;8;"Low"
"2024-11-09";"Amoxicillin";33;1.3;1.21;1.21;15;12;"Low"
"2024-11-09";"Azithromycin";98;1.5;1.46;1.46;10;6;"High"
"2024-11-09";"Ciprofloxacin";27;1.4;1.32;1.32;11;6;"High"
"2024-11-09";"Doxycycline";74;1.2;1.03;1.03;4;5;"Medium"
"2024-11-09";"Cetrizine";37;0.4;0.38;0.38;5;7;"Low"
"2024-11-09";"Loratadine";84;0.45;0.39;0.39;8;10;"Medium"
"2024-11-09";"Fexofenadine";15;0.5;0.47;0.47;3;10;"Medium"
"2024-11-09";"Metformin";75;0.9;0.9;0.9;12;15;"Low"
"2024-11-09";"Glimepiride";21;1.1;1.0;1.0;8;5;"Low"
"2024-11-09";"Sitagliptin";51;1.6;1.37;1.37;0;12;"High"
"2024-11-09";"Pioglitazone";22;1.2;1.06;1.06;1;7;"High"
"2024-11-09";"Omeprazole";78;0.7;0.62;0.62;1;7;"High"
"2024-11-09";"Losartan";18;1.0;0.93;0.93;13;9;"High"
"2024-11-09";"Levothyroxine";92;0.8;0.79;0.79;12;5;"Medium"
"2024-11-10";"Paracetamol";79;0.55;0.49;0.49;12;12;"High"
"2024-11-10";"Ibuprofen";88;0.75;0.65;0.65;11;8;"Low"
"2024-11-10";"Aspirin";11;0.6;0.57;0.57;6;15;"Low"
"2024-11-10";"Naproxen";14;0.85;0.79;0.79;0;14;"High"
"2024-11-10";"Diclofenac";30;0.9;0.79;0.79;7;11;"High"
"2024-11-10";"Amoxicillin";60;1.3;1.23;1.23;2;14;"Medium"
"2024-11-10";"Azithromycin";43;1.5;1.46;1.46;3;7;"Medium"
"2024-11-10";"Ciprofloxacin";47;1.4;1.37;1.37;6;6;"High"
"2024-11-10";"Doxycycline";42;1.2;1.15;1.15;11;5;"Low"
"2024-11-10";"Cetrizine";59;0.4;0.34;0.34;1;9;"High"
"2024-11-10";"Loratadine";88;0.45;0.38;0.38;13;11;"Medium"
"2024-11-10";"Fexofenadine";90;0.5;0.48;0.48;7;14;"High"
"2024-11-10";"Metformin";15;0.9;0.8;0.8;7;7;"Medium"
"2024-11-10";"Glimepiride";87;1.1;0.95;0.95;9;9;"Low"
"2024-11-10";"Sitagliptin";63;1.6;1.52;1.52;4;10;"High"
"2024-11-10";"Pioglitazone";10;1.2;1.1;1.1;6;5;"Medium"
"2024-11-10";"Omeprazole";87;0.7;0.63;0.63;1;8;"Low"
"2024-11-10";"Losartan";66;1.0;0.91;0.91;15;6;"High"
"2024-11-10";"Levothyroxine";10;0.8;0.69;0.69;1;5;"Low"
"2024-11-11";"Paracetamol";85;0.55;0.52;0.52;13;7;"Low"
"2024-11-11";"Ibuprofen";58;0.75;0.73;0.73;4;7;"Low"
"2024-11-11";"Aspirin";51;0.6;0.55;0.55;3;13;"Low"
"2024-11-11";"Naproxen";78;0.85;0.83;0.83;8;11;"Low"
"2024-11-11";"Diclofenac";61;0.9;0.79;0.79;13;10;"Low"
"2024-11-11";"Amoxicillin";69;1.3;1.3;1.3;5;12;"Low"
"2024-11-11";"Azithromycin";59;1.5;1.37;1.37;4;9;"Medium"
"2024-11-11";"Ciprofloxacin";46;1.4;1.31;1.31;1;11;"High"
"2024-11-11";"Doxycycline";71;1.2;1.17;1.17;11;7;"Low"
"2024-11-11";"Cetrizine";79;0.4;0.39;0.39;9;9;"High"
"2024-11-11";"Loratadine";24;0.45;0.42;0.42;10;14;"Low"
"2024-11-11";"Fexofenadine";84;0.5;0.46;0.46;11;15;"Low"
"2024-11-11";"Metformin";62;0.9;0.85;0.85;9;12;"Medium"
"2024-11-11";"Glimepiride";65;1.1;0.94;0.94;14;12;"High"
"2024-11-11";"Sitagliptin";56;1.6;1.43;1.43;2;10;"High"
"2024-11-11";"Pioglitazone";93;1.2;1.14;1.14;12;7;"Low"
"2024-11-11";"Omeprazole";69;0.7;0.65;0.65;4;10;"Medium"
"2024-11-11";"Losartan";33;1.0;0.94;0.94;7;9;"Low"
"2024-11-11";"Levothyroxine";13;0.8;0.79;0.79;8;14;"Low"
"2024-11-12";"Paracetamol";55;0.55;0.47;0.47;0;8;"Low"
"2024-11-12";"Ibuprofen";80;0.75;0.71;0.71;7;10;"High"
"2024-11-12";"Aspirin";82;0.6;0.54;0.54;7;10;"Low"
"2024-11-12";"Naproxen";49;0.85;0.75;0.75;7;7;"Low"
"2024-11-12";"Diclofenac";57;0.9;0.83;0.83;13;9;"High"
"2024-11-12";"Amoxicillin";100;1.3;1.28;1.28;12;11;"High"
"2024-11-12";"Azithromycin";15;1.5;1.46;1.46;15;15;"Medium"
"2024-11-12";"Ciprofloxacin";88;1.4;1.24;1.24;9;6;"High"
"2024-11-12";"Doxycycline";33;1.2;1.06;1.06;0;10;"High"
"2024-11-12";"Cetrizine";66;0.4;0.39;0.39;7;10;"Low"
"2024-11-12";"Loratadine";41;0.45;0.41;0.41;13;10;"Medium"
"2024-11-12";"Fexofenadine";96;0.5;0.46;0.46;6;12;"High"
"2024-11-12";"Metformin";16;0.9;0.78;0.78;1;9;"Low"
"2024-11-12";"Glimepiride";36;1.1;1.07;1.07;0;13;"High"
"2024-11-12";"Sitagliptin";47;1.6;1.54;1.54;9;10;"Medium"
"2024-11-12";"Pioglitazone";39;1.2;1.03;1.03;8;9;"Low"
"2024-11-12";"Omeprazole";65;0.7;0.67;0.67;11;14;"Low"
"2024-11-12";"Losartan";67;1.0;0.89;0.89;15;10;"Low"
"2024-11-12";"Levothyroxine";100;0.8;0.73;0.73;15;6;"High"
"2024-11-13";"Paracetamol";31;0.55;0.5;0.5;3;15;"High"
"2024-11-13";"Ibuprofen";73;0.75;0.65;0.65;6;11;"Low"
"2024-11-13";"Aspirin";26;0.6;0.57;0.57;0;6;"Medium"
"2024-11-13";"Naproxen";93;0.85;0.81;0.81;4;14;"High"
"2024-11-13";"Diclofenac";60;0.9;0.79;0.79;5;7;"Low"
"2024-11-13";"Amoxicillin";88;1.3;1.16;1.16;14;12;"Medium"
"2024-11-13";"Azithromycin";22;1.5;1.46;1.46;11;8;"Medium"
"2024-11-13";"Ciprofloxacin";97;1.4;1.37;1.37;4;13;"Medium"
"2024-11-13";"Doxycycline";100;1.2;1.07;1.07;10;10;"Low"
"2024-11-13";"Cetrizine";50;0.4;0.38;0.38;14;11;"Medium"
"2024-11-13";"Loratadine";71;0.45;0.44;0.44;3;15;"Low"
"2024-11-13";"Fexofenadine";98;0.5;0.46;0.46;12;6;"High"
"2024-11-13";"Metformin";93;0.9;0.81;0.81;6;10;"High"
"2024-11-13";"Glimepiride";27;1.1;1.05;1.05;9;5;"High"
"2024-11-13";"Sitagliptin";93;1.6;1.38;1.38;4;7;"Medium"
"2024-11-13";"Pioglitazone";98;1.2;1.04;1.04;12;15;"Low"
"2024-11-13";"Omeprazole";95;0.7;0.7;0.7;10;8;"Low"
"2024-11-13";"Losartan";53;1.0;0.91;0.91;8;8;"High"
"2024-11-13";"Levothyroxine";71;0.8;0.71;0.71;1;10;"High"
"2024-11-14";"Paracetamol";68;0.55;0.5;0.5;13;7;"Low"
"2024-11-14";"Ibuprofen";64;0.75;0.7;0.7;8;8;"Low"
"2024-11-14";"Aspirin";74;0.6;0.57;0.57;0;6;"High"
"2024-11-14";"Naproxen";14;0.85;0.81;0.81;10;8;"High"
"2024-11-14";"Diclofenac";39;0.9;0.89;0.89;6;15;"High"
"2024-11-14";"Amoxicillin";95;1.3;1.19;1.19;12;14;"Medium"
"2024-11-14";"Azithromycin";61;1.5;1.34;1.34;11;12;"Low"
"2024-11-14";"Ciprofloxacin";76;1.4;1.34;1.34;11;10;"Low"
"2024-11-14";"Doxycycline";35;1.2;1.17;1.17;9;8;"Low"
"2024-11-14";"Cetrizine";33;0.4;0.38;0.38;0;12;"Low"
"2024-11-14";"Loratadine";80;0.45;0.41;0.41;11;14;"Medium"
"2024-11-14";"Fexofenadine";33;0.5;0.45;0.45;3;8;"High"
"2024-11-14";"Metformin";18;0.9;0.81;0.81;2;10;"Medium"
"2024-11-14";"Glimepiride";28;1.1;1.02;1.02;15;11;"Medium"
"2024-11-14";"Sitagliptin";16;1.6;1.44;1.44;14;13;"Low"
"2024-11-14";"Pioglitazone";15;1.2;1.18;1.18;13;8;"Low"
"2024-11-14";"Omeprazole";29;0.7;0.66;0.66;15;5;"Medium"
"2024-11-14";"Losartan";13;1.0;0.95;0.95;3;12;"High"
"2024-11-14";"Levothyroxine";44;0.8;0.79;0.79;12;13;"Medium"
"2024-11-15";"Paracetamol";84;0.55;0.49;0.49;0;5;"High"
"2024-11-15";"Ibuprofen";40;0.75;0.74;0.74;6;5;"High"
"2024-11-15";"Aspirin";38;0.6;0.6;0.6;1;12;"Low"
"2024-11-15";"Naproxen";21;0.85;0.77;0.77;8;9;"Low"
"2024-11-15";"Diclofenac";70;0.9;0.82;0.82;4;7;"Low"
"2024-11-15";"Amoxicillin";72;1.3;1.23;1.23;12;7;"High"
"2024-11-15";"Azithromycin";81;1.5;1.46;1.46;4;6;"Medium"
"2024-11-15";"Ciprofloxacin";69;1.4;1.29;1.29;0;14;"High"
"2024-11-15";"Doxycycline";53;1.2;1.17;1.17;4;12;"High"
"2024-11-15";"Cetrizine";52;0.4;0.35;0.35;11;8;"Low"
"2024-11-15";"Loratadine";83;0.45;0.38;0.38;13;11;"Low"
"2024-11-15";"Fexofenadine";73;0.5;0.48;0.48;15;8;"High"
"2024-11-15";"Metformin";13;0.9;0.8;0.8;9;12;"Medium"
"2024-11-15";"Glimepiride";47;1.1;0.95;0.95;2;5;"Medium"
"2024-11-15";"Sitagliptin";80;1.6;1.57;1.57;4;15;"High"
"2024-11-15";"Pioglitazone";40;1.2;1.13;1.13;5;6;"Low"
"2024-11-15";"Omeprazole";84;0.7;0.6;0.6;4;12;"Medium"
"2024-11-15";"Losartan";43;1.0;0.99;0.99;11;11;"Medium"
"2024-11-15";"Levothyroxine";62;0.8;0.68;0.68;4;7;"Medium"
"2024-11-16";"Paracetamol";38;0.55;0.47;0.47;10;15;"Low"
"2024-11-16";"Ibuprofen";19;0.75;0.69;0.69;2;13;"Medium"
"2024-11-16";"Aspirin";98;0.6;0.56;0.56;7;9;"Low"
"2024-11-16";"Naproxen";45;0.85;0.73;0.73;4;13;"Medium"
"2024-11-16";"Diclofenac";64;0.9;0.8;0.8;10;6;"Low"
"2024-11-16";"Amoxicillin";53;1.3;1.27;1.27;6;5;"Medium"
"2024-11-16";"Azithromycin";59;1.5;1.42;1.42;13;9;"Low"
"2024-11-16";"Ciprofloxacin";86;1.4;1.21;1.21;10;5;"Medium"
"2024-11-16";"Doxycycline";98;1.2;1.19;1.19;2;14;"Low"
"2024-11-16";"Cetrizine";32;0.4;0.35;0.35;7;7;"High"
"2024-11-16";"Loratadine";52;0.45;0.4;0.4;6;15;"Low"
"2024-11-16";"Fexofenadine";21;0.5;0.45;0.45;2;8;"Low"
"2024-11-16";"Metformin";67;0.9;0.89;0.89;11;9;"Low"
"2024-11-16";"Glimepiride";85;1.1;1.08;1.08;0;6;"High"
"2024-11-16";"Sitagliptin";72;1.6;1.6;1.6;14;13;"Low"
"2024-11-16";"Pioglitazone";54;1.2;1.1;1.1;14;13;"High"
"2024-11-16";"Omeprazole";45;0.7;0.61;0.61;9;7;"Medium"
"2024-11-16";"Losartan";21;1.0;0.87;0.87;7;14;"Medium"
"2024-11-16";"Levothyroxine";67;0.8;0.77;0.77;2;10;"Low"
"2024-11-17";"Paracetamol";62;0.55;0.51;0.51;10;12;"High"
"2024-11-17";"Ibuprofen";41;0.75;0.65;0.65;14;10;"Low"
"2024-11-17";"Aspirin";81;0.6;0.54;0.54;3;15;"Low"
"2024-11-17";"Naproxen";14;0.85;0.77;0.77;6;14;"Low"
"2024-11-17";"Diclofenac";55;0.9;0.81;0.81;1;11;"Low"
"2024-11-17";"Amoxicillin";43;1.3;1.13;1.13;11;9;"High"
"2024-11-17";"Azithromycin";35;1.5;1.29;1.29;10;13;"Medium"
"2024-11-17";"Ciprofloxacin";58;1.4;1.25;1.25;12;7;"High"
"2024-11-17";"Doxycycline";10;1.2;1.04;1.04;0;7;"High"
"2024-11-17";"Cetrizine";77;0.4;0.35;0.35;10;12;"Medium"
"2024-11-17";"Loratadine";56;0.45;0.44;0.44;12;9;"High"
"2024-11-17";"Fexofenadine";24;0.5;0.47;0.47;6;8;"High"
"2024-11-17";"Metformin";36;0.9;0.84;0.84;13;8;"Medium"
"2024-11-17";"Glimepiride";76;1.1;1.0;1.0;0;11;"Low"
"2024-11-17";"Sitagliptin";73;1.6;1.51;1.51;3;11;"Medium"
"2024-11-17";"Pioglitazone";71;1.2;1.09;1.09;11;11;"High"
"2024-11-17";"Omeprazole";63;0.7;0.62;0.62;15;13;"Medium"
"2024-11-17";"Losartan";38;1.0;0.95;0.95;15;8;"Medium"
"2024-11-17";"Levothyroxine";33;0.8;0.69;0.69;4;15;"Medium"
"2024-11-18";"Paracetamol";64;0.55;0.48;0.48;15;11;"Low"
"2024-11-18";"Ibuprofen";97;0.75;0.66;0.66;4;14;"High"
"2024-11-18";"Aspirin";100;0.6;0.54;0.54;3;11;"High"
"2024-11-18";"Naproxen";71;0.85;0.75;0.75;13;5;"High"
"2024-11-18";"Diclofenac";37;0.9;0.82;0.82;8;9;"Low"
"2024-11-18";"Amoxicillin";64;1.3;1.29;1.29;1;7;"Low"
"2024-11-18";"Azithromycin";73;1.5;1.39;1.39;5;8;"Low"
"2024-11-18";"Ciprofloxacin";32;1.4;1.21;1.21;7;14;"Low"
"2024-11-18";"Doxycycline";28;1.2;1.06;1.06;7;11;"Low"
"2024-11-18";"Cetrizine";50;0.4;0.35;0.35;7;9;"Low"
"2024-11-18";"Loratadine";56;0.45;0.39;0.39;14;11;"Medium"
"2024-11-18";"Fexofenadine";43;0.5;0.5;0.5;2;11;"Medium"
"2024-11-18";"Metformin";40;0.9;0.8;0.8;14;13;"Medium"
"2024-11-18";"Glimepiride";75;1.1;1.01;1.01;0;10;"Low"
"2024-11-18";"Sitagliptin";13;1.6;1.55;1.55;7;10;"Medium"
"2024-11-18";"Pioglitazone";90;1.2;1.1;1.1;6;10;"Medium"
"2024-11-18";"Omeprazole";53;0.7;0.63;0.63;5;11;"Medium"
"2024-11-18";"Losartan";84;1.0;0.99;0.99;12;7;"Medium"
"2024-11-18";"Levothyroxine";37;0.8;0.76;0.76;9;11;"High"
"2024-11-19";"Paracetamol";71;0.55;0.49;0.49;4;9;"Low"
"2024-11-19";"Ibuprofen";58;0.75;0.75;0.75;8;6;"Medium"
"2024-11-19";"Aspirin";69;0.6;0.56;0.56;0;5;"High"
"2024-11-19";"Naproxen";100;0.85;0.81;0.81;0;10;"Medium"
"2024-11-19";"Diclofenac";87;0.9;0.9;0.9;5;12;"Medium"
"2024-11-19";"Amoxicillin";52;1.3;1.11;1.11;11;14;"Low"
"2024-11-19";"Azithromycin";55;1.5;1.43;1.43;5;10;"Low"
"2024-11-19";"Ciprofloxacin";27;1.4;1.37;1.37;12;7;"High"
"2024-11-19";"Doxycycline";59;1.2;1.12;1.12;2;14;"Medium"
"2024-11-19";"Cetrizine";33;0.4;0.4;0.4;11;9;"Low"
"2024-11-19";"Loratadine";17;0.45;0.39;0.39;1;13;"Medium"
