Transaction ID,Date,Medicine Name,Category,Quantity Sold,Government Ceiling Price ($),Industry Selling Price ($),Price per Unit ($),Discount (%),Taxes (%),Demand Level,Supply Chain Issues
1084,2024-11-05,Doxycycline,Antibiotic,84,1.2,1.08,1.08,10,15,Medium,Raw Material Shortage
1085,2024-11-05,Cetrizine,Antihistamine,70,0.4,0.34,0.34,5,15,High,Raw Material Shortage
1086,2024-11-05,Loratadine,Antihistamine,76,0.45,0.39,0.39,3,13,Medium,None
1087,2024-11-05,Fexofenadine,Antihistamine,65,0.5,0.48,0.48,12,5,Medium,Raw Material Shortage
1088,2024-11-05,Metformin,Diabetes,60,0.9,0.79,0.79,1,8,Medium,None
1089,2024-11-05,Glimepiride,Diabetes,45,1.1,1.07,1.07,15,7,Medium,Shipping Delay
1090,2024-11-05,Sitagliptin,Diabetes,82,1.6,1.39,1.39,6,6,Low,None
1091,2024-11-05,Pioglitazone,Diabetes,80,1.2,1.09,1.09,14,14,Medium,Raw Material Shortage
1092,2024-11-05,Omeprazole,Acid Reflux,96,0.7,0.67,0.67,0,7,Medium,None
1093,2024-11-05,Losartan,Blood Pressure,91,1,0.91,0.91,15,8,Low,Raw Material Shortage
1094,2024-11-05,Levothyroxine,Thyroid,91,0.8,0.72,0.72,0,7,High,Raw Material Shortage
1095,2024-11-06,Paracetamol,Painkiller,78,0.55,0.52,0.52,12,10,High,Shipping Delay
1096,2024-11-06,Ibuprofen,Painkiller,14,0.75,0.71,0.71,9,11,Low,None
1097,2024-11-06,Aspirin,Painkiller,89,0.6,0.56,0.56,12,9,High,Shipping Delay
1098,2024-11-06,Naproxen,Painkiller,57,0.85,0.8,0.8,2,6,Low,Shipping Delay
1099,2024-11-06,Diclofenac,Painkiller,38,0.9,0.8,0.8,8,15,High,None
1100,2024-11-06,Amoxicillin,Antibiotic,23,1.3,1.12,1.12,7,13,Low,Raw Material Shortage
1101,2024-11-06,Azithromycin,Antibiotic,67,1.5,1.42,1.42,12,12,Low,Shipping Delay
1102,2024-11-06,Ciprofloxacin,Antibiotic,43,1.4,1.32,1.32,11,8,Medium,Raw Material Shortage
1103,2024-11-06,Doxycycline,Antibiotic,95,1.2,1.1,1.1,12,15,High,Raw Material Shortage
1104,2024-11-06,Cetrizine,Antihistamine,95,0.4,0.36,0.36,8,5,Low,Shipping Delay
1105,2024-11-06,Loratadine,Antihistamine,31,0.45,0.39,0.39,12,13,Medium,None
1106,2024-11-06,Fexofenadine,Antihistamine,32,0.5,0.45,0.45,2,5,Low,None
1107,2024-11-06,Metformin,Diabetes,50,0.9,0.77,0.77,15,5,Medium,Shipping Delay
1108,2024-11-06,Glimepiride,Diabetes,35,1.1,1.01,1.01,8,9,Low,Raw Material Shortage
1109,2024-11-06,Sitagliptin,Diabetes,61,1.6,1.36,1.36,5,15,High,Shipping Delay
1110,2024-11-06,Pioglitazone,Diabetes,89,1.2,1.1,1.1,8,15,Medium,None
1111,2024-11-06,Omeprazole,Acid Reflux,56,0.7,0.68,0.68,6,12,Medium,Shipping Delay
1112,2024-11-06,Losartan,Blood Pressure,41,1,0.9,0.9,2,5,Low,Raw Material Shortage
1113,2024-11-06,Levothyroxine,Thyroid,34,0.8,0.71,0.71,4,9,High,Shipping Delay
1114,2024-11-07,Paracetamol,Painkiller,41,0.55,0.53,0.53,9,12,Low,Raw Material Shortage
1115,2024-11-07,Ibuprofen,Painkiller,52,0.75,0.68,0.68,5,13,Medium,None
1116,2024-11-07,Aspirin,Painkiller,25,0.6,0.59,0.59,8,8,Low,Raw Material Shortage
1117,2024-11-07,Naproxen,Painkiller,23,0.85,0.76,0.76,5,15,Low,Shipping Delay
1118,2024-11-07,Diclofenac,Painkiller,76,0.9,0.79,0.79,5,12,High,Raw Material Shortage
1119,2024-11-07,Amoxicillin,Antibiotic,95,1.3,1.29,1.29,13,5,High,Shipping Delay
1120,2024-11-07,Azithromycin,Antibiotic,63,1.5,1.36,1.36,3,5,High,None
1121,2024-11-07,Ciprofloxacin,Antibiotic,52,1.4,1.35,1.35,3,8,High,Raw Material Shortage
1122,2024-11-07,Doxycycline,Antibiotic,42,1.2,1.15,1.15,6,7,Low,Raw Material Shortage
1123,2024-11-07,Cetrizine,Antihistamine,40,0.4,0.37,0.37,0,10,High,None
1124,2024-11-07,Loratadine,Antihistamine,42,0.45,0.42,0.42,12,9,High,None
1125,2024-11-07,Fexofenadine,Antihistamine,79,0.5,0.47,0.47,3,5,High,Shipping Delay
1126,2024-11-07,Metformin,Diabetes,47,0.9,0.81,0.81,2,6,High,None
1127,2024-11-07,Glimepiride,Diabetes,94,1.1,0.97,0.97,1,6,Low,Shipping Delay
1128,2024-11-07,Sitagliptin,Diabetes,81,1.6,1.4,1.4,10,14,Low,Raw Material Shortage
1129,2024-11-07,Pioglitazone,Diabetes,16,1.2,1.16,1.16,0,15,Low,Raw Material Shortage
1130,2024-11-07,Omeprazole,Acid Reflux,13,0.7,0.6,0.6,7,11,Low,None
1131,2024-11-07,Losartan,Blood Pressure,27,1,0.97,0.97,6,6,Medium,None
1132,2024-11-07,Levothyroxine,Thyroid,61,0.8,0.78,0.78,0,6,High,None
1133,2024-11-08,Paracetamol,Painkiller,26,0.55,0.49,0.49,8,8,High,Shipping Delay
1134,2024-11-08,Ibuprofen,Painkiller,76,0.75,0.64,0.64,10,13,Low,Raw Material Shortage
1135,2024-11-08,Aspirin,Painkiller,54,0.6,0.53,0.53,10,12,Medium,None
1136,2024-11-08,Naproxen,Painkiller,17,0.85,0.73,0.73,4,11,Medium,Shipping Delay
1137,2024-11-08,Diclofenac,Painkiller,14,0.9,0.83,0.83,9,15,Medium,Shipping Delay
1138,2024-11-08,Amoxicillin,Antibiotic,69,1.3,1.14,1.14,2,9,High,Shipping Delay
1139,2024-11-08,Azithromycin,Antibiotic,59,1.5,1.34,1.34,1,8,Low,Shipping Delay
1140,2024-11-08,Ciprofloxacin,Antibiotic,80,1.4,1.38,1.38,6,6,Medium,None
1141,2024-11-08,Doxycycline,Antibiotic,55,1.2,1.05,1.05,7,14,High,Raw Material Shortage
1142,2024-11-08,Cetrizine,Antihistamine,39,0.4,0.39,0.39,15,8,Medium,Raw Material Shortage
1143,2024-11-08,Loratadine,Antihistamine,27,0.45,0.44,0.44,7,13,High,Shipping Delay
1144,2024-11-08,Fexofenadine,Antihistamine,78,0.5,0.48,0.48,9,9,Medium,Shipping Delay
1145,2024-11-08,Metformin,Diabetes,72,0.9,0.87,0.87,10,12,Low,Shipping Delay
1146,2024-11-08,Glimepiride,Diabetes,100,1.1,0.94,0.94,3,12,Medium,Raw Material Shortage
1147,2024-11-08,Sitagliptin,Diabetes,81,1.6,1.44,1.44,0,12,Low,None
1148,2024-11-08,Pioglitazone,Diabetes,32,1.2,1.04,1.04,10,12,Low,None
1149,2024-11-08,Omeprazole,Acid Reflux,98,0.7,0.65,0.65,12,6,High,None
1150,2024-11-08,Losartan,Blood Pressure,73,1,0.88,0.88,8,7,High,Shipping Delay
1151,2024-11-08,Levothyroxine,Thyroid,59,0.8,0.75,0.75,2,8,Medium,Shipping Delay
1152,2024-11-09,Paracetamol,Painkiller,20,0.55,0.52,0.52,7,12,Low,Shipping Delay
1153,2024-11-09,Ibuprofen,Painkiller,16,0.75,0.64,0.64,12,12,Medium,None
1154,2024-11-09,Aspirin,Painkiller,43,0.6,0.52,0.52,15,8,Low,None
1155,2024-11-09,Naproxen,Painkiller,58,0.85,0.8,0.8,8,11,High,Raw Material Shortage
1156,2024-11-09,Diclofenac,Painkiller,77,0.9,0.79,0.79,5,8,Low,Shipping Delay
1157,2024-11-09,Amoxicillin,Antibiotic,33,1.3,1.21,1.21,15,12,Low,Shipping Delay
1158,2024-11-09,Azithromycin,Antibiotic,98,1.5,1.46,1.46,10,6,High,Shipping Delay
1159,2024-11-09,Ciprofloxacin,Antibiotic,27,1.4,1.32,1.32,11,6,High,Raw Material Shortage
1160,2024-11-09,Doxycycline,Antibiotic,74,1.2,1.03,1.03,4,5,Medium,Raw Material Shortage
1161,2024-11-09,Cetrizine,Antihistamine,37,0.4,0.38,0.38,5,7,Low,Raw Material Shortage
1162,2024-11-09,Loratadine,Antihistamine,84,0.45,0.39,0.39,8,10,Medium,None
1163,2024-11-09,Fexofenadine,Antihistamine,15,0.5,0.47,0.47,3,10,Medium,None
1164,2024-11-09,Metformin,Diabetes,75,0.9,0.9,0.9,12,15,Low,Shipping Delay
1165,2024-11-09,Glimepiride,Diabetes,21,1.1,1,1,8,5,Low,Raw Material Shortage
1166,2024-11-09,Sitagliptin,Diabetes,51,1.6,1.37,1.37,0,12,High,None
1167,2024-11-09,Pioglitazone,Diabetes,22,1.2,1.06,1.06,1,7,High,Shipping Delay
1168,2024-11-09,Omeprazole,Acid Reflux,78,0.7,0.62,0.62,1,7,High,Raw Material Shortage
1169,2024-11-09,Losartan,Blood Pressure,18,1,0.93,0.93,13,9,High,None
1170,2024-11-09,Levothyroxine,Thyroid,92,0.8,0.79,0.79,12,5,Medium,None
1171,2024-11-10,Paracetamol,Painkiller,79,0.55,0.49,0.49,12,12,High,Raw Material Shortage
1172,2024-11-10,Ibuprofen,Painkiller,88,0.75,0.65,0.65,11,8,Low,Raw Material Shortage
1173,2024-11-10,Aspirin,Painkiller,11,0.6,0.57,0.57,6,15,Low,Raw Material Shortage
1174,2024-11-10,Naproxen,Painkiller,14,0.85,0.79,0.79,0,14,High,Raw Material Shortage
1175,2024-11-10,Diclofenac,Painkiller,30,0.9,0.79,0.79,7,11,High,Raw Material Shortage
1176,2024-11-10,Amoxicillin,Antibiotic,60,1.3,1.23,1.23,2,14,Medium,None
1177,2024-11-10,Azithromycin,Antibiotic,43,1.5,1.46,1.46,3,7,Medium,Shipping Delay
1178,2024-11-10,Ciprofloxacin,Antibiotic,47,1.4,1.37,1.37,6,6,High,Shipping Delay
1179,2024-11-10,Doxycycline,Antibiotic,42,1.2,1.15,1.15,11,5,Low,Shipping Delay
1180,2024-11-10,Cetrizine,Antihistamine,59,0.4,0.34,0.34,1,9,High,Raw Material Shortage
1181,2024-11-10,Loratadine,Antihistamine,88,0.45,0.38,0.38,13,11,Medium,Shipping Delay
1182,2024-11-10,Fexofenadine,Antihistamine,90,0.5,0.48,0.48,7,14,High,Raw Material Shortage
1183,2024-11-10,Metformin,Diabetes,15,0.9,0.8,0.8,7,7,Medium,Shipping Delay
1184,2024-11-10,Glimepiride,Diabetes,87,1.1,0.95,0.95,9,9,Low,None
1185,2024-11-10,Sitagliptin,Diabetes,63,1.6,1.52,1.52,4,10,High,Raw Material Shortage
1186,2024-11-10,Pioglitazone,Diabetes,10,1.2,1.1,1.1,6,5,Medium,Raw Material Shortage
1187,2024-11-10,Omeprazole,Acid Reflux,87,0.7,0.63,0.63,1,8,Low,Shipping Delay
1188,2024-11-10,Losartan,Blood Pressure,66,1,0.91,0.91,15,6,High,Shipping Delay
1189,2024-11-10,Levothyroxine,Thyroid,10,0.8,0.69,0.69,1,5,Low,Shipping Delay
1190,2024-11-11,Paracetamol,Painkiller,85,0.55,0.52,0.52,13,7,Low,Shipping Delay
1191,2024-11-11,Ibuprofen,Painkiller,58,0.75,0.73,0.73,4,7,Low,None
1192,2024-11-11,Aspirin,Painkiller,51,0.6,0.55,0.55,3,13,Low,Shipping Delay
1193,2024-11-11,Naproxen,Painkiller,78,0.85,0.83,0.83,8,11,Low,None
1194,2024-11-11,Diclofenac,Painkiller,61,0.9,0.79,0.79,13,10,Low,Raw Material Shortage
1195,2024-11-11,Amoxicillin,Antibiotic,69,1.3,1.3,1.3,5,12,Low,None
1196,2024-11-11,Azithromycin,Antibiotic,59,1.5,1.37,1.37,4,9,Medium,Shipping Delay
1197,2024-11-11,Ciprofloxacin,Antibiotic,46,1.4,1.31,1.31,1,11,High,None
1198,2024-11-11,Doxycycline,Antibiotic,71,1.2,1.17,1.17,11,7,Low,Shipping Delay
1199,2024-11-11,Cetrizine,Antihistamine,79,0.4,0.39,0.39,9,9,High,None
1200,2024-11-11,Loratadine,Antihistamine,24,0.45,0.42,0.42,10,14,Low,None
1201,2024-11-11,Fexofenadine,Antihistamine,84,0.5,0.46,0.46,11,15,Low,Raw Material Shortage
1202,2024-11-11,Metformin,Diabetes,62,0.9,0.85,0.85,9,12,Medium,Shipping Delay
1203,2024-11-11,Glimepiride,Diabetes,65,1.1,0.94,0.94,14,12,High,Raw Material Shortage
1204,2024-11-11,Sitagliptin,Diabetes,56,1.6,1.43,1.43,2,10,High,None
1205,2024-11-11,Pioglitazone,Diabetes,93,1.2,1.14,1.14,12,7,Low,None
1206,2024-11-11,Omeprazole,Acid Reflux,69,0.7,0.65,0.65,4,10,Medium,None
1207,2024-11-11,Losartan,Blood Pressure,33,1,0.94,0.94,7,9,Low,None
1208,2024-11-11,Levothyroxine,Thyroid,13,0.8,0.79,0.79,8,14,Low,Shipping Delay
1209,2024-11-12,Paracetamol,Painkiller,55,0.55,0.47,0.47,0,8,Low,Shipping Delay
1210,2024-11-12,Ibuprofen,Painkiller,80,0.75,0.71,0.71,7,10,High,Raw Material Shortage
1211,2024-11-12,Aspirin,Painkiller,82,0.6,0.54,0.54,7,10,Low,Raw Material Shortage
1212,2024-11-12,Naproxen,Painkiller,49,0.85,0.75,0.75,7,7,Low,Shipping Delay
1213,2024-11-12,Diclofenac,Painkiller,57,0.9,0.83,0.83,13,9,High,Raw Material Shortage
1214,2024-11-12,Amoxicillin,Antibiotic,100,1.3,1.28,1.28,12,11,High,None
1215,2024-11-12,Azithromycin,Antibiotic,15,1.5,1.46,1.46,15,15,Medium,None
1216,2024-11-12,Ciprofloxacin,Antibiotic,88,1.4,1.24,1.24,9,6,High,Shipping Delay
1217,2024-11-12,Doxycycline,Antibiotic,33,1.2,1.06,1.06,0,10,High,None
1218,2024-11-12,Cetrizine,Antihistamine,66,0.4,0.39,0.39,7,10,Low,Raw Material Shortage
1219,2024-11-12,Loratadine,Antihistamine,41,0.45,0.41,0.41,13,10,Medium,Raw Material Shortage
1220,2024-11-12,Fexofenadine,Antihistamine,96,0.5,0.46,0.46,6,12,High,Raw Material Shortage
1221,2024-11-12,Metformin,Diabetes,16,0.9,0.78,0.78,1,9,Low,None
1222,2024-11-12,Glimepiride,Diabetes,36,1.1,1.07,1.07,0,13,High,Shipping Delay
1223,2024-11-12,Sitagliptin,Diabetes,47,1.6,1.54,1.54,9,10,Medium,Raw Material Shortage
1224,2024-11-12,Pioglitazone,Diabetes,39,1.2,1.03,1.03,8,9,Low,None
1225,2024-11-12,Omeprazole,Acid Reflux,65,0.7,0.67,0.67,11,14,Low,None
1226,2024-11-12,Losartan,Blood Pressure,67,1,0.89,0.89,15,10,Low,Shipping Delay
1227,2024-11-12,Levothyroxine,Thyroid,100,0.8,0.73,0.73,15,6,High,Raw Material Shortage
1228,2024-11-13,Paracetamol,Painkiller,31,0.55,0.5,0.5,3,15,High,None
1229,2024-11-13,Ibuprofen,Painkiller,73,0.75,0.65,0.65,6,11,Low,None
1230,2024-11-13,Aspirin,Painkiller,26,0.6,0.57,0.57,0,6,Medium,None
1231,2024-11-13,Naproxen,Painkiller,93,0.85,0.81,0.81,4,14,High,Raw Material Shortage
1232,2024-11-13,Diclofenac,Painkiller,60,0.9,0.79,0.79,5,7,Low,Raw Material Shortage
1233,2024-11-13,Amoxicillin,Antibiotic,88,1.3,1.16,1.16,14,12,Medium,None
1234,2024-11-13,Azithromycin,Antibiotic,22,1.5,1.46,1.46,11,8,Medium,Raw Material Shortage
1235,2024-11-13,Ciprofloxacin,Antibiotic,97,1.4,1.37,1.37,4,13,Medium,None
1236,2024-11-13,Doxycycline,Antibiotic,100,1.2,1.07,1.07,10,10,Low,None
1237,2024-11-13,Cetrizine,Antihistamine,50,0.4,0.38,0.38,14,11,Medium,Shipping Delay
1238,2024-11-13,Loratadine,Antihistamine,71,0.45,0.44,0.44,3,15,Low,Shipping Delay
1239,2024-11-13,Fexofenadine,Antihistamine,98,0.5,0.46,0.46,12,6,High,None
1240,2024-11-13,Metformin,Diabetes,93,0.9,0.81,0.81,6,10,High,Shipping Delay
1241,2024-11-13,Glimepiride,Diabetes,27,1.1,1.05,1.05,9,5,High,None
1242,2024-11-13,Sitagliptin,Diabetes,93,1.6,1.38,1.38,4,7,Medium,Raw Material Shortage
1243,2024-11-13,Pioglitazone,Diabetes,98,1.2,1.04,1.04,12,15,Low,None
1244,2024-11-13,Omeprazole,Acid Reflux,95,0.7,0.7,0.7,10,8,Low,Shipping Delay
1245,2024-11-13,Losartan,Blood Pressure,53,1,0.91,0.91,8,8,High,Raw Material Shortage
1246,2024-11-13,Levothyroxine,Thyroid,71,0.8,0.71,0.71,1,10,High,Raw Material Shortage
1247,2024-11-14,Paracetamol,Painkiller,68,0.55,0.5,0.5,13,7,Low,None
1248,2024-11-14,Ibuprofen,Painkiller,64,0.75,0.7,0.7,8,8,Low,Raw Material Shortage
1249,2024-11-14,Aspirin,Painkiller,74,0.6,0.57,0.57,0,6,High,Raw Material Shortage
1250,2024-11-14,Naproxen,Painkiller,14,0.85,0.81,0.81,10,8,High,Raw Material Shortage
1251,2024-11-14,Diclofenac,Painkiller,39,0.9,0.89,0.89,6,15,High,Raw Material Shortage
1252,2024-11-14,Amoxicillin,Antibiotic,95,1.3,1.19,1.19,12,14,Medium,Shipping Delay
1253,2024-11-14,Azithromycin,Antibiotic,61,1.5,1.34,1.34,11,12,Low,Raw Material Shortage
1254,2024-11-14,Ciprofloxacin,Antibiotic,76,1.4,1.34,1.34,11,10,Low,None
1255,2024-11-14,Doxycycline,Antibiotic,35,1.2,1.17,1.17,9,8,Low,Shipping Delay
1256,2024-11-14,Cetrizine,Antihistamine,33,0.4,0.38,0.38,0,12,Low,None
1257,2024-11-14,Loratadine,Antihistamine,80,0.45,0.41,0.41,11,14,Medium,Raw Material Shortage
1258,2024-11-14,Fexofenadine,Antihistamine,33,0.5,0.45,0.45,3,8,High,None
1259,2024-11-14,Metformin,Diabetes,18,0.9,0.81,0.81,2,10,Medium,None
1260,2024-11-14,Glimepiride,Diabetes,28,1.1,1.02,1.02,15,11,Medium,Raw Material Shortage
1261,2024-11-14,Sitagliptin,Diabetes,16,1.6,1.44,1.44,14,13,Low,Shipping Delay
1262,2024-11-14,Pioglitazone,Diabetes,15,1.2,1.18,1.18,13,8,Low,None
1263,2024-11-14,Omeprazole,Acid Reflux,29,0.7,0.66,0.66,15,5,Medium,None
1264,2024-11-14,Losartan,Blood Pressure,13,1,0.95,0.95,3,12,High,None
1265,2024-11-14,Levothyroxine,Thyroid,44,0.8,0.79,0.79,12,13,Medium,None
1266,2024-11-15,Paracetamol,Painkiller,84,0.55,0.49,0.49,0,5,High,Shipping Delay
1267,2024-11-15,Ibuprofen,Painkiller,40,0.75,0.74,0.74,6,5,High,Raw Material Shortage
1268,2024-11-15,Aspirin,Painkiller,38,0.6,0.6,0.6,1,12,Low,Raw Material Shortage
1269,2024-11-15,Naproxen,Painkiller,21,0.85,0.77,0.77,8,9,Low,None
