datum,M01AB_monthly,M01AE_monthly,N02BA_monthly,N02BE_monthly,N05B_monthly,N05C_monthly,R03_monthly,R06_monthly,M01AB_weekly,M01AE_weekly,N02BA_weekly,N02BE_weekly,N05B_weekly,N05C_weekly,R03_weekly,R06_weekly,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,M01AB_hourly,M01AE_hourly,N02BA_hourly,N02BE_hourly,N05B_hourly,N05C_hourly,R03_hourly,R06_hourly,Year_hourly,Month_hourly,Hour_hourly
2017-02-28,139.69000000000003,103.517,97.0,526.3500000000001,144.0,7.0,117.0,30.6,161.48,126.50991667,118.20833333,710.8433333,186.20833333000002,14.166666667,125.33333333,41.933333329999996,,,,,,,,,,,,5.34,5.0200000000000005,7.5,26.4,9.0,2.0,18.0,0.0,48408.0,48.0,276.0
2017-03-31,162.85000000000002,111.055,107.35,612.5000000000002,165.0,9.0,139.0,100.1,154.68,107.589,98.85,573.9,155.0,11.0,124.0,79.6,,,,,,,,,,,,4.0,2.0,3.5,22.2,2.0,0.0,2.0,6.0,48408.0,72.0,276.0
2017-04-30,155.61000000000004,101.21500000000002,100.5,540.1999999999998,132.0,9.0,209.0,122.4,174.79,113.381,123.5,621.6,165.0,9.0,190.875,144.89999999999998,32.99,31.253,25.7,106.75,33.0,2.0,48.0,45.3,14119.0,28.0,1932.0,1.0,4.046,2.3,18.0,2.0,0.0,12.0,2.0,48408.0,96.0,276.0
2017-05-31,143.66,118.12500000000006,98.95,547.9399999999998,148.0,23.0,128.0,161.81,128.32,108.277,86.05,482.74,135.0,17.0,118.0,146.81,,,,,,,,,,,,4.0,2.4290000000000003,7.0,12.2,6.0,4.0,1.0,5.0,48408.0,120.0,276.0
2017-06-30,122.33,103.006,119.6,496.1,163.0,8.0,163.0,151.89999999999998,111.32,96.666,87.75,484.8,146.0,14.0,144.0,143.9,,,,,,,,,,,,6.67,2.132,2.0,18.0,2.0,0.0,0.0,6.0,48408.0,144.0,276.0
2017-07-31,159.67,116.20600000000005,75.19999999999999,479.35,219.0,15.0,115.0,81.1,169.305,131.584,97.7,534.85,240.0,15.0,139.0,102.1,,,,,,,,,,,,7.34,0.81,2.25,21.0,9.0,0.0,5.0,2.0,48408.0,168.0,276.0
2017-08-31,170.14999999999998,112.47,84.4,549.3,239.0,12.0,75.0,60.1,138.14,96.191,71.95,503.3,223.0,9.0,68.0,54.0,,,,,,,,,,,,16.68,3.033,3.05,17.0,4.0,0.0,0.0,1.0,48408.0,192.0,276.0
2017-09-30,138.33,118.71100000000004,88.14999999999998,863.7500000000002,223.0,23.0,139.0,66.9,161.01,114.59299999999999,88.25,679.8,213.0,14.0,73.0,72.0,,,,,,,,,,,,5.33,3.0100000000000002,3.0,61.9,6.0,0.0,28.0,0.0,48408.0,216.0,276.0
2017-10-31,137.64,88.737,100.4,1184.3500000000004,226.0,15.0,247.0,51.0,148.48,104.921,109.0,1364.5,252.0,27.0,316.0,52.0,,,,,,,,,,,,4.33,1.363,4.0,38.0,2.0,0.0,0.0,1.0,48408.0,240.0,276.0
2017-11-30,163.85000000000005,119.78000000000004,104.45,867.8990000000001,192.0,15.0,196.0,46.6,151.33,116.0,91.9,800.674,183.0,12.0,176.0,36.6,,,,,,,,,,,,5.67,1.396,3.0,30.0,2.0,0.0,9.0,3.0,48408.0,264.0,276.0
2017-12-31,160.01000000000002,121.66300000000004,115.15,1007.18,226.0,6.0,204.0,47.1,178.36,130.466,133.7,1145.205,244.0,9.0,233.0,59.1,50.17,34.038,29.65,302.08000000000004,68.0,3.0,63.0,11.0,14119.0,84.0,1932.0,13.83,10.043,5.3,70.2,9.0,0.0,0.0,1.0,48408.0,288.0,276.0
2018-01-31,132.28,109.44599999999998,101.15,1134.325,229.0,11.0,219.0,49.5,125.28999999999999,96.247,89.9,1019.025,196.0,8.0,205.0,44.5,,,,,,,,,,,,0.33,5.0760000000000005,4.0,30.4,12.0,0.0,6.0,1.0,48432.0,24.0,276.0
2018-02-28,128.36,132.80400000000014,114.65000000000002,1255.3740000000007,268.0,12.0,253.0,39.06,130.02,140.363,115.4,1252.712,251.0,4.0,223.25,41.06,,,,,,,,,,,,1.0,2.33,5.1,44.662,21.0,2.0,0.0,1.0,48432.0,48.0,276.0
2018-03-31,146.16,111.764,122.3,999.1230000000004,381.0,42.0,269.0,85.5,115.32,92.974,112.5,929.361,333.0,38.0,255.0,72.4,,,,,,,,,,,,9.0,2.99,2.0,50.0,8.0,0.0,3.0,4.0,48432.0,72.0,276.0
2018-04-30,170.02000000000007,107.723,84.60000000000001,836.0369999999999,289.0,21.0,229.0,197.1,201.19,125.493,101.9,976.886,375.0,29.0,257.0,206.2,,,,,,,,,,,,5.0,6.66,3.0,14.125,12.0,0.0,1.0,7.0,48432.0,96.0,276.0
2018-05-31,160.52000000000004,103.522,89.39999999999999,644.6480000000004,259.0,13.0,192.0,213.04,141.68,97.809,84.55,590.123,238.0,13.0,135.0,192.4,,,,,,,,,,,,3.5,3.66,1.35,11.4,10.0,0.0,8.0,5.64,48432.0,120.0,276.0
2018-06-30,141.18,114.22600000000004,86.80000000000001,584.343,248.0,18.0,101.0,120.8,138.52,106.902,75.65,549.1310000000001,222.0,13.0,113.0,129.04,,,,,,,,,,,,6.84,3.34,7.0,26.8,10.0,2.0,0.0,4.0,48432.0,144.0,276.0
2018-07-31,150.18,132.54900000000006,87.2,679.3499999999999,283.0,19.0,90.0,122.2,166.35,142.18,97.9,744.212,328.0,22.0,111.0,134.6,,,,,,,,,,,,7.33,3.736,3.0,13.0,5.0,0.0,0.0,3.0,48432.0,168.0,276.0
2018-08-31,140.00000000000003,114.71900000000004,88.25,733.838,253.0,20.0,159.0,103.1,131.65,112.35900000000001,82.25,646.738,224.0,19.0,129.0,97.1,,,,,,,,,,,,4.34,3.34,0.0,17.2,13.0,1.0,20.0,4.0,48432.0,192.0,276.0
2018-09-30,153.52,114.99200000000008,86.5,1058.2620000000002,263.0,12.0,205.0,88.10000000000001,172.2,127.418,100.8,1184.362,306.0,15.0,235.0,101.1,36.84,35.992999999999995,27.25,320.35,54.0,2.0,67.0,17.0,14126.0,63.0,1932.0,11.01,2.01,2.0,54.0,9.0,1.0,3.0,3.0,48432.0,216.0,276.0
2018-10-31,144.71000000000004,129.4000000000001,76.05000000000001,1129.275,287.0,25.0,353.0,76.9,128.03,118.05,69.69999999999999,1044.175,268.0,25.0,302.0,70.9,,,,,,,,,,,,2.0,4.68,3.0,34.1,7.0,0.0,2.0,2.0,48432.0,240.0,276.0
2018-11-30,172.29000000000005,105.48700000000004,102.15,995.15,252.2,22.0,311.0,48.400000000000006,167.31,96.827,101.5,933.05,229.2,19.0,306.0,39.900000000000006,,,,,,,,,,,,1.0,3.0100000000000002,1.0,22.4,3.0,0.0,0.0,2.5,48432.0,264.0,276.0
2018-12-31,147.71000000000004,113.02400000000011,84.75,1213.95,254.0,27.0,384.0,53.1,161.37,128.374,86.55,1316.65,286.0,30.0,378.0,63.6,,,,,,,,,,,,8.0,4.66,5.2,44.5,10.0,0.0,6.0,4.0,48432.0,288.0,276.0
2019-01-31,179.70000000000007,222.35100000000017,99.7,1660.6120000000012,295.2,23.0,386.0,41.3,166.2,164.979,94.2,1506.8,268.2,20.0,318.0,39.0,,,,,,,,,,,,1.67,11.504999999999999,2.0,62.2,8.0,1.0,20.0,2.0,48456.0,24.0,276.0
2019-02-28,133.73000000000002,142.15500000000014,110.19999999999996,1001.2120000000004,249.4,12.0,226.0,69.5,141.89,162.22899999999998,107.55,1099.924,263.4,12.0,259.0,59.3,,,,,,,,,,,,0.67,3.33,4.0,34.0,2.0,1.0,35.0,3.0,48456.0,48.0,276.0
2019-03-31,154.52000000000004,113.11800000000004,83.35000000000001,941.05,301.4,19.0,257.0,169.49999999999997,167.86,122.37100000000001,96.7,1040.65,324.4,22.0,298.0,186.0,31.17,43.774,20.0,172.9,69.0,4.0,53.0,49.5,14133.0,21.0,1932.0,7.0,4.564,1.5,27.0,8.0,1.0,5.0,9.2,48456.0,72.0,276.0
2019-04-30,161.39000000000004,100.16500000000003,88.1,647.6500000000002,299.4,22.0,259.0,179.10000000000002,154.06,92.39099999999999,77.5,598.05,281.4,20.0,191.0,167.7,,,,,,,,,,,,2.0,1.407,8.0,22.0,13.0,2.0,28.0,8.4,48456.0,96.0,276.0
2019-05-31,168.04000000000005,97.25800000000004,104.1,703.5620000000001,265.79999999999995,26.0,322.0,135.4,149.88,94.32900000000001,98.75,661.1,248.8,25.0,313.29166667,126.8,,,,,,,,,,,,5.99,3.363,1.0,22.662,2.0,0.0,2.0,5.0,48456.0,120.0,276.0
2019-06-30,151.5400000000001,101.62700000000004,103.2,609.9999999999999,193.0,25.0,142.0,156.04,177.03,112.33,119.15,702.062,228.0,28.0,155.0,176.04,34.01,30.442999999999998,20.1,130.9,41.0,6.0,28.0,27.0,14133.0,42.0,1932.0,6.0,6.159,0.0,40.0,5.0,0.0,11.0,5.0,48456.0,144.0,276.0
2019-07-31,181.0,103.54100000000004,92.8,649.8,250.6,20.0,115.0,105.2,162.5,90.184,83.8,555.225,225.6,16.0,77.0,96.2,,,,,,,,,,,,0.0,2.84,2.0,21.0,4.0,0.0,4.0,2.0,48456.0,168.0,276.0
2019-08-31,181.91000000000008,88.26900000000003,84.19999999999999,518.0999999999999,237.0,26.0,145.0,97.3,172.05,89.144,73.2,483.15,225.0,27.0,173.0,83.2,,,,,,,,,,,,4.68,3.936,2.0,15.0,5.0,1.0,4.0,6.0,48456.0,192.0,276.0
2019-09-30,161.07000000000005,111.43700000000008,93.5,984.48,227.8,16.0,161.0,109.1,187.43,122.48,111.4,1035.48,255.8,19.0,126.41666667,130.2,,,,,,,,,,,,2.0,1.439,2.1,49.4,9.0,0.0,5.0,2.0,48456.0,216.0,276.0
2019-10-31,44.370000000000005,37.3,20.65,295.15000000000003,86.0,7.0,37.0,11.13,46.370000000000005,38.739000000000004,22.75,344.54999999999995,95.0,7.0,42.0,13.13,,,,,,,,,,,,,,,,,,,,,,
2014-01-05,,,,,,,,,,,,,,,,,14.0,11.67,21.3,185.95,41.0,0.0,32.0,7.0,8056.0,4.0,1076.0,4.0,3.0,7.0,41.1,8.0,0.0,3.0,0.0,48336.0,24.0,276.0
2014-01-12,,,,,,,,,,,,,,,,,29.33,12.68,37.9,190.7,88.0,5.0,21.0,7.2,14098.0,7.0,1932.0,2.0,0.66,2.5,12.0,8.0,0.0,1.0,1.0,48336.0,24.0,276.0
2014-01-19,,,,,,,,,,,,,,,,,30.67,26.34,45.9,218.4,80.0,8.0,29.0,12.0,14098.0,7.0,1932.0,4.33,4.0,4.0,14.1,4.0,0.0,1.0,1.0,48336.0,24.0,276.0
2014-01-26,,,,,,,,,,,,,,,,,34.0,32.37,31.5,179.6,80.0,8.0,23.0,10.0,14098.0,7.0,1932.0,4.33,1.6800000000000002,0.0,24.0,4.0,0.0,0.0,0.0,48336.0,24.0,276.0
2014-02-02,,,,,,,,,,,,,,,,,31.02,23.35,20.7,159.88,84.0,12.0,29.0,12.0,14098.0,9.0,1932.0,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,48336.0,48.0,276.0
2014-02-09,,,,,,,,,,,,,,,,,22.65,29.72,53.3,226.8,98.0,7.0,31.0,6.0,14098.0,14.0,1932.0,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,48336.0,48.0,276.0
2014-02-16,,,,,,,,,,,,,,,,,33.33,30.69,47.3,320.7,89.0,14.0,18.0,16.2,14098.0,14.0,1932.0,0.0,1.6800000000000002,1.2,34.0,5.0,2.0,3.0,1.0,48336.0,48.0,276.0
2014-02-23,,,,,,,,,,,,,,,,,39.01,34.25,44.2,232.7,99.0,5.0,35.0,7.0,14098.0,14.0,1932.0,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,48336.0,48.0,276.0
2014-03-02,,,,,,,,,,,,,,,,,36.68,28.75,40.355000000000004,222.5,52.0,2.0,16.0,10.1,14098.0,16.0,1932.0,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,48336.0,72.0,276.0
2014-03-09,,,,,,,,,,,,,,,,,25.02,21.11,31.8,202.375,48.0,4.0,16.0,9.2,14098.0,21.0,1932.0,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,48336.0,72.0,276.0
2014-03-16,,,,,,,,,,,,,,,,,32.35,23.77,36.199999999999996,164.8,90.0,5.0,36.0,19.0,14098.0,21.0,1932.0,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,48336.0,72.0,276.0
2014-03-23,,,,,,,,,,,,,,,,,39.36,23.72,26.1,202.8,36.0,4.0,27.0,23.6,14098.0,21.0,1932.0,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,48336.0,72.0,276.0
2014-03-30,,,,,,,,,,,,,,,,,25.689999999999998,17.33,36.2,136.6,42.0,6.0,29.0,24.5,14098.0,21.0,1932.0,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,48336.0,72.0,276.0
2014-04-06,,,,,,,,,,,,,,,,,19.68,22.049999999999997,36.4,153.7,31.0,7.0,27.0,20.0,14098.0,27.0,1932.0,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,48336.0,96.0,276.0
2014-04-13,,,,,,,,,,,,,,,,,36.03,20.38,21.2,141.0,46.0,4.0,22.0,20.3,14098.0,28.0,1932.0,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,48336.0,96.0,276.0
2014-04-20,,,,,,,,,,,,,,,,,27.36,19.38,35.15,134.2,59.0,1.0,24.0,20.0,14098.0,28.0,1932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48336.0,96.0,276.0
2014-04-27,,,,,,,,,,,,,,,,,26.36,20.215,22.0,182.5,54.0,4.0,16.0,13.0,14098.0,28.0,1932.0,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,48336.0,96.0,276.0
2014-05-04,,,,,,,,,,,,,,,,,22.02,27.16,23.9,176.6,49.0,6.0,24.0,13.9,14098.0,32.0,1932.0,1.6700000000000002,4.6899999999999995,1.2,20.0,3.0,0.0,0.0,3.0,48336.0,120.0,276.0
2014-05-11,,,,,,,,,,,,,,,,,24.67,32.485,29.6,151.6,69.0,11.0,15.0,36.0,14098.0,35.0,1932.0,2.0,2.6799999999999997,1.0,17.0,7.0,0.0,1.0,4.0,48336.0,120.0,276.0
2014-05-18,,,,,,,,,,,,,,,,,22.38,26.4,35.2,154.0,56.0,2.0,42.0,18.5,14098.0,35.0,1932.0,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,48336.0,120.0,276.0
2014-05-25,,,,,,,,,,,,,,,,,25.02,22.278,33.7,115.7,56.0,5.0,20.0,36.6,14098.0,35.0,1932.0,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,48336.0,120.0,276.0
2014-06-01,,,,,,,,,,,,,,,,,17.71,22.08,25.1,143.38,69.0,3.0,19.0,28.1,14098.0,36.0,1932.0,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,48336.0,144.0,276.0
2014-06-08,,,,,,,,,,,,,,,,,23.34,23.06,33.9,154.425,64.0,8.0,19.0,27.5,14098.0,42.0,1932.0,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,48336.0,144.0,276.0
2014-06-15,,,,,,,,,,,,,,,,,29.03,17.4,23.6,95.3,87.0,8.0,20.0,36.8,14098.0,42.0,1932.0,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,48336.0,144.0,276.0
2014-06-22,,,,,,,,,,,,,,,,,31.68,20.73,26.1,106.7,66.0,5.0,11.0,24.0,14098.0,42.0,1932.0,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,48336.0,144.0,276.0
2014-06-29,,,,,,,,,,,,,,,,,21.02,27.5,37.3,156.8,96.0,1.0,6.0,18.0,14098.0,42.0,1932.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,48336.0,144.0,276.0
2014-07-06,,,,,,,,,,,,,,,,,27.35,24.74,30.0,135.8,64.0,3.0,8.0,10.0,14098.0,48.0,1932.0,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0,48336.0,168.0,276.0
